| FAILURE SCENARIO | DETAILS | IMPACT / MITIGATION | APPLICABLE ALERTING METRICS |
|---|---|---|---|
| Scanner Handler pod crash | GKE pod dies mid-request due to OOM, fatal exception, or node failure | Caller receives 502. GKE restarts pod automatically. In-flight requests lost unless retried by caller. Return `503 Service Temporarily Unavailable` with `Retry-After` header. Pub/Sub messages nacked and redelivered. | Pod restart count, container OOM events, pod readiness probe failures |
| Scanner Handler unresponsive / timeout | Pod is running but hanging — deadlock, blocked thread, or Wiz API call with no timeout set | Caller request hangs indefinitely. Enforce internal timeouts on all Wiz API calls. Return `504 Gateway Timeout` with friendly message after threshold. | Request latency p95/p99, active connection count, thread pool exhaustion |
| Scanner Handler deployment rollout | New version rolling out via GKE — some pods on old version, some terminating | Intermittent 502s during rollout window. Use `RollingUpdate` with `minReadySeconds` and readiness probes to ensure pod is healthy before receiving traffic. Drain in-flight requests with `terminationGracePeriodSeconds`. | Deployment rollout status, error rate spike during deploy window |
| Scanner Handler overloaded | Burst of CI/CD requests exceeds pod capacity — CPU throttled, request queue backing up | Slow responses, eventual timeouts. HPA should scale pods before saturation. Return `429 Too Many Requests` with `Retry-After` if internal queue depth exceeds threshold. | CPU utilisation, memory utilisation, HPA scale events, Pub/Sub undelivered message count |
| Pub/Sub publish failure | Scanner Handler accepts request, writes to Firestore, but Pub/Sub publish fails | Job is safe in Firestore. Reconciler requeues within 5 minutes. Caller already has their `scanId` — they are unaware. No user-facing error. | Pub/Sub publish error rate, reconciler requeue count, jobs stuck in PENDING beyond threshold |
| Firestore unavailable | Scanner Handler cannot write job state before enqueuing — GCP regional outage or misconfiguration | Cannot safely accept new scan requests without durability guarantee. Return `503 Service Unavailable` with message: *"Scan submission temporarily unavailable, please retry shortly."* Do not enqueue without Firestore write. | Firestore write latency, Firestore error rate, GCP regional health |
| Wiz API rate limit hit | Worker pod submits too fast, Wiz returns `429`. Token bucket not tuned correctly. | Jobs nacked back to Pub/Sub, redelivered, retried with backoff. No job loss. Queue depth grows until rate normalises. Alert before it becomes chronic. | Wiz API 429 response rate, Pub/Sub oldest unacked message age, worker retry count |
| Wiz API unavailable | Wiz SaaS outage — all submissions fail with 5xx or connection timeout | Workers nack all messages. Queue builds in Pub/Sub durably. Callers polling for results receive `202 Scan pending`. Jobs process automatically when Wiz recovers. | Wiz API error rate, Pub/Sub subscription backlog growth rate, worker consecutive failure count |
| Webhook receiver down | Wiz cannot deliver scan completion events — scanner handler webhook endpoint unavailable | Scan results not updated in Firestore via push. Fallback to polling Wiz GraphQL on each caller status check. No job loss but increased Wiz API load. | Webhook endpoint availability, webhook delivery failure rate from Wiz, polling request rate increase |
| Caller polling timeout | Downstream service polls for scan result beyond its own timeout — scan legitimately still running | Caller gives up waiting, pipeline may fail. Provide estimated completion time in status response. Recommend async/webhook pattern to callers rather than tight polling loops. | Scan job age by status, p95 end-to-end scan duration, COMPLETED vs PENDING ratio over time |
